iter	Passed	Remaining
603	2360	1547
604	2363	1543
605	2367	1539
606	2371	1535
607	2375	1531
608	2379	1527
609	2383	1523
610	2387	1519
611	2390	1515
612	2394	1511
613	2398	1507
614	2402	1504
615	2407	1500
616	2410	1496
617	2414	1492
618	2418	1488
619	2423	1485
620	2427	1481
621	2430	1477
622	2434	1473
623	2438	1469
624	2442	1465
625	2446	1461
626	2450	1457
627	2454	1454
628	2458	1450
629	2462	1446
630	2465	1442
631	2470	1438
632	2474	1434
633	2477	1430
634	2481	1426
635	2485	1422
636	2489	1418
637	2493	1414
638	2496	1410
639	2501	1406
640	2505	1403
641	2509	1399
642	2512	1395
643	2517	1391
644	2520	1387
645	2524	1383
646	2528	1379
647	2532	1375
648	2537	1372
649	2540	1368
650	2544	1364
651	2549	1360
652	2552	1356
653	2556	1352
654	2560	1348
655	2564	1344
656	2569	1341
657	2572	1337
658	2576	1333
659	2581	1329
660	2585	1325
661	2588	1321
662	2593	1318
663	2599	1315
664	2603	1311
665	2608	1308
666	2612	1304
667	2617	1300
668	2621	1296
669	2625	1293
670	2629	1289
671	2634	1285
672	2638	1281
673	2642	1277
674	2646	1274
675	2650	1270
676	2654	1266
677	2658	1262
678	2663	1259
679	2667	1255
680	2671	1251
681	2675	1247
682	2679	1243
683	2683	1239
684	2687	1236
685	2692	1232
686	2696	1228
687	2700	1224
688	2704	1220
689	2708	1216
690	2712	1213
691	2716	1209
692	2720	1205
693	2724	1201
694	2729	1197
695	2734	1194
696	2739	1191
697	2744	1187
698	2749	1183
699	2753	1180
700	2758	1176
701	2762	1172
702	2766	1168
703	2770	1164
704	2775	1161
705	2779	1157
706	2783	1153
707	2787	1149
708	2792	1146
709	2796	1142
710	2800	1138
711	2804	1134
712	2808	1130
713	2813	1126
714	2817	1122
715	2821	1119
716	2826	1115
717	2830	1111
718	2834	1107
719	2839	1104
720	2843	1100
721	2848	1096
722	2852	1092
723	2856	1089
724	2861	1085
725	2865	1081
726	2871	1078
727	2875	1074
728	2879	1070
729	2884	1066
730	2889	1063
731	2894	1059
732	2898	1055
733	2902	1051
734	2907	1048
735	2911	1044
736	2915	1040
737	2920	1036
738	2924	1032
739	2928	1029
740	2932	1025
741	2938	1021
742	2942	1017
743	2946	1013
744	2951	1010
745	2955	1006
746	2960	1002
747	2964	998
748	2969	995
749	2974	991
750	2978	987
751	2982	983
752	2987	979
753	2991	976
754	2995	972
755	3000	968
756	3004	964
757	3008	960
758	3012	956
759	3017	952
760	3022	949
761	3026	945
762	3030	941
763	3035	937
764	3039	933
765	3043	929
766	3055	928
767	3060	924
768	3064	920
769	3069	916
770	3073	912
771	3077	908
772	3082	905
773	3086	901
774	3090	897
775	3094	893
776	3099	889
777	3103	885
778	3107	881
779	3111	877
780	3116	873
781	3121	870
782	3125	866
783	3131	862
